Geographic Area(s),Year(s),Age Group/Status,Test Type,Blood Lead Reference Value,Number of Children Tested,Number of Children with an EBLL,Percent of Children Tested with an EBLL
49202,2010,All Children <6,All Test Types,3.5,493,72,14.6
49202,2010,All Children <6,All Test Types,5,493,38,7.7
49202,2011,All Children <6,All Test Types,3.5,545,79,14.5
49202,2011,All Children <6,All Test Types,5,545,42,7.7
49202,2012,All Children <6,All Test Types,3.5,584,69,11.8
49202,2012,All Children <6,All Test Types,5,584,40,6.8
49202,2013,All Children <6,All Test Types,3.5,572,73,12.8
49202,2013,All Children <6,All Test Types,5,572,36,6.3
49202,2014,All Children <6,All Test Types,3.5,530,66,12.5
49202,2014,All Children <6,All Test Types,5,530,27,5.1
49202,2015,All Children <6,All Test Types,3.5,542,55,10.1
49202,2015,All Children <6,All Test Types,5,542,25,4.6
49202,2016,All Children <6,All Test Types,3.5,533,112,21
49202,2016,All Children <6,All Test Types,5,533,40,7.5
49202,2017,All Children <6,All Test Types,3.5,455,56,12.3
49202,2017,All Children <6,All Test Types,5,455,20,4.4
49202,2018,All Children <6,All Test Types,3.5,539,84,15.6
49202,2018,All Children <6,All Test Types,5,539,27,5
49202,2019,All Children <6,All Test Types,3.5,482,61,12.7
49202,2019,All Children <6,All Test Types,5,482,31,6.4
49202,2020,All Children <6,All Test Types,3.5,276,41,14.9
49202,2020,All Children <6,All Test Types,5,276,20,7.2
49202,2021,All Children <6,All Test Types,3.5,315,20,6.3
49202,2021,All Children <6,All Test Types,5,315,9,2.9
49202,2022,All Children <6,All Test Types,3.5,390,31,7.9
49202,2022,All Children <6,All Test Types,5,390,11,2.8
49202,2023,All Children <6,All Test Types,3.5,474,25,5.3
49202,2023,All Children <6,All Test Types,5,474,9,1.9
49202,2024,All Children <6,All Test Types,3.5,431,26,6
49202,2024,All Children <6,All Test Types,5,431,7,1.6
49203,2010,All Children <6,All Test Types,3.5,844,164,19.4
49203,2010,All Children <6,All Test Types,5,844,103,12.2
49203,2011,All Children <6,All Test Types,3.5,848,160,18.9
49203,2011,All Children <6,All Test Types,5,848,106,12.5
49203,2012,All Children <6,All Test Types,3.5,898,174,19.4
49203,2012,All Children <6,All Test Types,5,898,107,11.9
49203,2013,All Children <6,All Test Types,3.5,935,170,18.2
49203,2013,All Children <6,All Test Types,5,935,84,9
49203,2014,All Children <6,All Test Types,3.5,856,157,18.3
49203,2014,All Children <6,All Test Types,5,856,76,8.9
49203,2015,All Children <6,All Test Types,3.5,952,142,14.9
49203,2015,All Children <6,All Test Types,5,952,68,7.1
49203,2016,All Children <6,All Test Types,3.5,941,233,24.8
49203,2016,All Children <6,All Test Types,5,941,107,11.4
49203,2017,All Children <6,All Test Types,3.5,832,162,19.5
49203,2017,All Children <6,All Test Types,5,832,78,9.4
49203,2018,All Children <6,All Test Types,3.5,884,148,16.7
49203,2018,All Children <6,All Test Types,5,884,63,7.1
49203,2019,All Children <6,All Test Types,3.5,840,129,15.4
49203,2019,All Children <6,All Test Types,5,840,66,7.9
49203,2020,All Children <6,All Test Types,3.5,495,66,13.3
49203,2020,All Children <6,All Test Types,5,495,40,8.1
49203,2021,All Children <6,All Test Types,3.5,537,52,9.7
49203,2021,All Children <6,All Test Types,5,537,30,5.6
49203,2022,All Children <6,All Test Types,3.5,702,64,9.1
49203,2022,All Children <6,All Test Types,5,702,37,5.3
49203,2023,All Children <6,All Test Types,3.5,846,81,9.6
49203,2023,All Children <6,All Test Types,5,846,50,5.9
49203,2024,All Children <6,All Test Types,3.5,801,87,10.9
49203,2024,All Children <6,All Test Types,5,801,48,6
49204**,2010,All Children <6,All Test Types,3.5,,,Suppressed
49204**,2010,All Children <6,All Test Types,5,,,Suppressed
49204**,2011,All Children <6,All Test Types,3.5,6,,Suppressed
49204**,2011,All Children <6,All Test Types,5,6,,Suppressed
49204**,2012,All Children <6,All Test Types,3.5,,,Suppressed
49204**,2012,All Children <6,All Test Types,5,,,Suppressed
49204,2013,All Children <6,All Test Types,3.5,,0,0
49204,2013,All Children <6,All Test Types,5,,0,0
49204**,2014,All Children <6,All Test Types,3.5,6,,Suppressed
49204,2014,All Children <6,All Test Types,5,6,0,0
49204**,2015,All Children <6,All Test Types,3.5,7,,Suppressed
49204,2015,All Children <6,All Test Types,5,7,0,0
49204**,2016,All Children <6,All Test Types,3.5,,,Suppressed
49204,2016,All Children <6,All Test Types,5,,0,0
49204,2017,All Children <6,All Test Types,3.5,,0,0
49204,2017,All Children <6,All Test Types,5,,0,0
49204,2018,All Children <6,All Test Types,3.5,,0,0
49204,2018,All Children <6,All Test Types,5,,0,0
49204**,2019,All Children <6,All Test Types,3.5,,,Suppressed
49204**,2019,All Children <6,All Test Types,5,,,Suppressed
49204**,2020,All Children <6,All Test Types,3.5,,,Suppressed
49204**,2020,All Children <6,All Test Types,5,,,Suppressed
49204,2021,All Children <6,All Test Types,3.5,,0,0
49204,2021,All Children <6,All Test Types,5,,0,0
49204,2022,All Children <6,All Test Types,3.5,,0,0
49204,2022,All Children <6,All Test Types,5,,0,0
49204,2023,All Children <6,All Test Types,3.5,,0,0
49204,2023,All Children <6,All Test Types,5,,0,0
49204**,2024,All Children <6,All Test Types,3.5,,,Suppressed
49204**,2024,All Children <6,All Test Types,5,,,Suppressed
49208,2013,All Children <6,All Test Types,3.5,,0,0
49208,2013,All Children <6,All Test Types,5,,0,0
49220,2010,All Children <6,All Test Types,3.5,43,7,16.3
49220**,2010,All Children <6,All Test Types,5,43,,Suppressed
49220**,2011,All Children <6,All Test Types,3.5,36,,Suppressed
49220**,2011,All Children <6,All Test Types,5,36,,Suppressed
49220**,2012,All Children <6,All Test Types,3.5,38,,Suppressed
49220**,2012,All Children <6,All Test Types,5,38,,Suppressed
49220**,2013,All Children <6,All Test Types,3.5,39,,Suppressed
49220,2013,All Children <6,All Test Types,5,39,0,0
49220**,2014,All Children <6,All Test Types,3.5,33,,Suppressed
49220,2014,All Children <6,All Test Types,5,33,0,0
49220**,2015,All Children <6,All Test Types,3.5,29,,Suppressed
49220**,2015,All Children <6,All Test Types,5,29,,Suppressed
49220**,2016,All Children <6,All Test Types,3.5,38,,Suppressed
49220,2016,All Children <6,All Test Types,5,38,0,0
49220**,2017,All Children <6,All Test Types,3.5,30,,Suppressed
49220,2017,All Children <6,All Test Types,5,30,0,0
49220**,2018,All Children <6,All Test Types,3.5,32,,Suppressed
49220**,2018,All Children <6,All Test Types,5,32,,Suppressed
49220**,2019,All Children <6,All Test Types,3.5,35,,Suppressed
49220**,2019,All Children <6,All Test Types,5,35,,Suppressed
49220**,2020,All Children <6,All Test Types,3.5,27,,Suppressed
49220,2020,All Children <6,All Test Types,5,27,0,0
49220**,2021,All Children <6,All Test Types,3.5,20,,Suppressed
49220,2021,All Children <6,All Test Types,5,20,0,0
49220**,2022,All Children <6,All Test Types,3.5,30,,Suppressed
49220,2022,All Children <6,All Test Types,5,30,0,0
49220**,2023,All Children <6,All Test Types,3.5,39,,Suppressed
49220**,2023,All Children <6,All Test Types,5,39,,Suppressed
49220**,2024,All Children <6,All Test Types,3.5,19,,Suppressed
49220**,2024,All Children <6,All Test Types,5,19,,Suppressed
49221,2010,All Children <6,All Test Types,3.5,943,138,14.6
49221,2010,All Children <6,All Test Types,5,943,87,9.2
49221,2011,All Children <6,All Test Types,3.5,972,123,12.7
49221,2011,All Children <6,All Test Types,5,972,74,7.6
49221,2012,All Children <6,All Test Types,3.5,1018,123,12.1
49221,2012,All Children <6,All Test Types,5,1018,77,7.6
49221,2013,All Children <6,All Test Types,3.5,810,101,12.5
49221,2013,All Children <6,All Test Types,5,810,65,8
49221,2014,All Children <6,All Test Types,3.5,636,125,19.7
49221,2014,All Children <6,All Test Types,5,636,76,11.9
49221,2015,All Children <6,All Test Types,3.5,518,97,18.7
49221,2015,All Children <6,All Test Types,5,518,68,13.1
49221,2016,All Children <6,All Test Types,3.5,552,111,20.1
49221,2016,All Children <6,All Test Types,5,552,44,8
49221,2017,All Children <6,All Test Types,3.5,603,69,11.4
49221,2017,All Children <6,All Test Types,5,603,32,5.3
49221,2018,All Children <6,All Test Types,3.5,555,51,9.2
49221,2018,All Children <6,All Test Types,5,555,24,4.3
49221,2019,All Children <6,All Test Types,3.5,438,51,11.6
49221,2019,All Children <6,All Test Types,5,438,26,5.9
49221,2020,All Children <6,All Test Types,3.5,310,42,13.5
49221,2020,All Children <6,All Test Types,5,310,22,7.1
49221,2021,All Children <6,All Test Types,3.5,284,23,8.1
49221,2021,All Children <6,All Test Types,5,284,14,4.9
49221,2022,All Children <6,All Test Types,3.5,326,23,7.1
49221,2022,All Children <6,All Test Types,5,326,16,4.9
49221,2023,All Children <6,All Test Types,3.5,377,44,11.7
49221,2023,All Children <6,All Test Types,5,377,18,4.8
49221,2024,All Children <6,All Test Types,3.5,363,33,9.1
49221,2024,All Children <6,All Test Types,5,363,19,5.2
49224,2010,All Children <6,All Test Types,3.5,212,24,11.3
49224,2010,All Children <6,All Test Types,5,212,16,7.5
49224,2011,All Children <6,All Test Types,3.5,183,22,12
49224,2011,All Children <6,All Test Types,5,183,12,6.6
49224,2012,All Children <6,All Test Types,3.5,176,18,10.2
49224,2012,All Children <6,All Test Types,5,176,9,5.1
49224,2013,All Children <6,All Test Types,3.5,188,26,13.8
49224,2013,All Children <6,All Test Types,5,188,13,6.9
49224,2014,All Children <6,All Test Types,3.5,152,23,15.1
49224,2014,All Children <6,All Test Types,5,152,14,9.2
49224,2015,All Children <6,All Test Types,3.5,138,20,14.5
49224,2015,All Children <6,All Test Types,5,138,13,9.4
49224,2016,All Children <6,All Test Types,3.5,272,57,21
49224,2016,All Children <6,All Test Types,5,272,29,10.7
49224,2017,All Children <6,All Test Types,3.5,284,49,17.3
49224,2017,All Children <6,All Test Types,5,284,25,8.8
49224,2018,All Children <6,All Test Types,3.5,315,37,11.7
49224,2018,All Children <6,All Test Types,5,315,15,4.8
49224,2019,All Children <6,All Test Types,3.5,234,34,14.5
49224,2019,All Children <6,All Test Types,5,234,17,7.3
49224,2020,All Children <6,All Test Types,3.5,95,17,17.9
49224,2020,All Children <6,All Test Types,5,95,12,12.6
49224,2021,All Children <6,All Test Types,3.5,101,14,13.9
49224,2021,All Children <6,All Test Types,5,101,12,11.9
49224,2022,All Children <6,All Test Types,3.5,127,10,7.9
49224**,2022,All Children <6,All Test Types,5,127,,Suppressed
49224,2023,All Children <6,All Test Types,3.5,203,25,12.3
49224,2023,All Children <6,All Test Types,5,203,15,7.4
49224,2024,All Children <6,All Test Types,3.5,212,14,6.6
49224,2024,All Children <6,All Test Types,5,212,10,4.7
49227**,2010,All Children <6,All Test Types,3.5,17,,Suppressed
49227**,2010,All Children <6,All Test Types,5,17,,Suppressed
49227**,2011,All Children <6,All Test Types,3.5,22,,Suppressed
49227,2011,All Children <6,All Test Types,5,22,0,0
49227**,2012,All Children <6,All Test Types,3.5,17,,Suppressed
49227**,2012,All Children <6,All Test Types,5,17,,Suppressed
49227**,2013,All Children <6,All Test Types,3.5,21,,Suppressed
49227**,2013,All Children <6,All Test Types,5,21,,Suppressed
49227**,2014,All Children <6,All Test Types,3.5,27,,Suppressed
49227**,2014,All Children <6,All Test Types,5,27,,Suppressed
49227**,2015,All Children <6,All Test Types,3.5,21,,Suppressed
49227**,2015,All Children <6,All Test Types,5,21,,Suppressed
49227**,2016,All Children <6,All Test Types,3.5,23,,Suppressed
49227**,2016,All Children <6,All Test Types,5,23,,Suppressed
49227**,2017,All Children <6,All Test Types,3.5,35,,Suppressed
49227**,2017,All Children <6,All Test Types,5,35,,Suppressed
49227**,2018,All Children <6,All Test Types,3.5,12,,Suppressed
49227,2018,All Children <6,All Test Types,5,12,0,0
49227,2019,All Children <6,All Test Types,3.5,26,0,0
49227,2019,All Children <6,All Test Types,5,26,0,0
49227**,2020,All Children <6,All Test Types,3.5,16,,Suppressed
49227**,2020,All Children <6,All Test Types,5,16,,Suppressed
49227,2021,All Children <6,All Test Types,3.5,,0,0
49227,2021,All Children <6,All Test Types,5,,0,0
49227,2022,All Children <6,All Test Types,3.5,11,0,0
49227,2022,All Children <6,All Test Types,5,11,0,0
49227**,2023,All Children <6,All Test Types,3.5,20,,Suppressed
49227**,2023,All Children <6,All Test Types,5,20,,Suppressed
49227,2024,All Children <6,All Test Types,3.5,10,0,0
49227,2024,All Children <6,All Test Types,5,10,0,0
49228,2010,All Children <6,All Test Types,3.5,76,6,7.9
49228**,2010,All Children <6,All Test Types,5,76,,Suppressed
49228**,2011,All Children <6,All Test Types,3.5,62,,Suppressed
49228**,2011,All Children <6,All Test Types,5,62,,Suppressed
49228**,2012,All Children <6,All Test Types,3.5,81,,Suppressed
49228**,2012,All Children <6,All Test Types,5,81,,Suppressed
49228**,2013,All Children <6,All Test Types,3.5,66,,Suppressed
49228,2013,All Children <6,All Test Types,5,66,0,0
49228**,2014,All Children <6,All Test Types,3.5,44,,Suppressed
49228**,2014,All Children <6,All Test Types,5,44,,Suppressed
49228**,2015,All Children <6,All Test Types,3.5,47,,Suppressed
49228**,2015,All Children <6,All Test Types,5,47,,Suppressed
49228,2016,All Children <6,All Test Types,3.5,57,7,12.3
49228**,2016,All Children <6,All Test Types,5,57,,Suppressed
49228,2017,All Children <6,All Test Types,3.5,59,6,10.2
49228**,2017,All Children <6,All Test Types,5,59,,Suppressed
49228,2018,All Children <6,All Test Types,3.5,56,6,10.7
49228,2018,All Children <6,All Test Types,5,56,0,0
49228,2019,All Children <6,All Test Types,3.5,50,6,12
49228**,2019,All Children <6,All Test Types,5,50,,Suppressed
49228**,2020,All Children <6,All Test Types,3.5,45,,Suppressed
49228**,2020,All Children <6,All Test Types,5,45,,Suppressed
49228**,2021,All Children <6,All Test Types,3.5,41,,Suppressed
49228**,2021,All Children <6,All Test Types,5,41,,Suppressed
49228**,2022,All Children <6,All Test Types,3.5,42,,Suppressed
49228**,2022,All Children <6,All Test Types,5,42,,Suppressed
49228**,2023,All Children <6,All Test Types,3.5,48,,Suppressed
49228**,2023,All Children <6,All Test Types,5,48,,Suppressed
49228**,2024,All Children <6,All Test Types,3.5,48,,Suppressed
49228**,2024,All Children <6,All Test Types,5,48,,Suppressed
49229**,2010,All Children <6,All Test Types,3.5,32,,Suppressed
49229**,2010,All Children <6,All Test Types,5,32,,Suppressed
49229**,2011,All Children <6,All Test Types,3.5,31,,Suppressed
49229**,2011,All Children <6,All Test Types,5,31,,Suppressed
49229,2012,All Children <6,All Test Types,3.5,46,6,13
49229**,2012,All Children <6,All Test Types,5,46,,Suppressed
49229**,2013,All Children <6,All Test Types,3.5,44,,Suppressed
49229,2013,All Children <6,All Test Types,5,44,0,0
49229**,2014,All Children <6,All Test Types,3.5,35,,Suppressed
49229**,2014,All Children <6,All Test Types,5,35,,Suppressed
49229**,2015,All Children <6,All Test Types,3.5,27,,Suppressed
49229**,2015,All Children <6,All Test Types,5,27,,Suppressed
49229**,2016,All Children <6,All Test Types,3.5,38,,Suppressed
49229**,2016,All Children <6,All Test Types,5,38,,Suppressed
49229**,2017,All Children <6,All Test Types,3.5,39,,Suppressed
49229**,2017,All Children <6,All Test Types,5,39,,Suppressed
49229**,2018,All Children <6,All Test Types,3.5,35,,Suppressed
49229,2018,All Children <6,All Test Types,5,35,0,0
49229**,2019,All Children <6,All Test Types,3.5,26,,Suppressed
49229**,2019,All Children <6,All Test Types,5,26,,Suppressed
49229,2020,All Children <6,All Test Types,3.5,15,0,0
49229,2020,All Children <6,All Test Types,5,15,0,0
49229,2021,All Children <6,All Test Types,3.5,8,0,0
49229,2021,All Children <6,All Test Types,5,8,0,0
49229,2022,All Children <6,All Test Types,3.5,14,0,0
49229,2022,All Children <6,All Test Types,5,14,0,0
49229**,2023,All Children <6,All Test Types,3.5,20,,Suppressed
49229**,2023,All Children <6,All Test Types,5,20,,Suppressed
49229**,2024,All Children <6,All Test Types,3.5,39,,Suppressed
49229**,2024,All Children <6,All Test Types,5,39,,Suppressed
49230,2010,All Children <6,All Test Types,3.5,87,8,9.2
49230**,2010,All Children <6,All Test Types,5,87,,Suppressed
49230,2011,All Children <6,All Test Types,3.5,92,9,9.8
49230,2011,All Children <6,All Test Types,5,92,6,6.5
49230**,2012,All Children <6,All Test Types,3.5,109,,Suppressed
49230**,2012,All Children <6,All Test Types,5,109,,Suppressed
49230**,2013,All Children <6,All Test Types,3.5,94,,Suppressed
49230,2013,All Children <6,All Test Types,5,94,0,0
49230**,2014,All Children <6,All Test Types,3.5,96,,Suppressed
49230**,2014,All Children <6,All Test Types,5,96,,Suppressed
49230**,2015,All Children <6,All Test Types,3.5,86,,Suppressed
49230,2015,All Children <6,All Test Types,5,86,0,0
49230,2016,All Children <6,All Test Types,3.5,105,9,8.6
49230**,2016,All Children <6,All Test Types,5,105,,Suppressed
49230**,2017,All Children <6,All Test Types,3.5,90,,Suppressed
49230,2017,All Children <6,All Test Types,5,90,0,0
49230,2018,All Children <6,All Test Types,3.5,107,6,5.6
49230**,2018,All Children <6,All Test Types,5,107,,Suppressed
49230,2019,All Children <6,All Test Types,3.5,95,6,6.3
49230**,2019,All Children <6,All Test Types,5,95,,Suppressed
49230**,2020,All Children <6,All Test Types,3.5,74,,Suppressed
49230**,2020,All Children <6,All Test Types,5,74,,Suppressed
49230**,2021,All Children <6,All Test Types,3.5,84,,Suppressed
49230**,2021,All Children <6,All Test Types,5,84,,Suppressed
49230,2022,All Children <6,All Test Types,3.5,92,0,0
49230,2022,All Children <6,All Test Types,5,92,0,0
49230**,2023,All Children <6,All Test Types,3.5,105,,Suppressed
49230**,2023,All Children <6,All Test Types,5,105,,Suppressed
49230**,2024,All Children <6,All Test Types,3.5,114,,Suppressed
49230**,2024,All Children <6,All Test Types,5,114,,Suppressed
49232,2010,All Children <6,All Test Types,3.5,42,6,14.3
49232**,2010,All Children <6,All Test Types,5,42,,Suppressed
49232,2011,All Children <6,All Test Types,3.5,41,7,17.1
49232**,2011,All Children <6,All Test Types,5,41,,Suppressed
49232**,2012,All Children <6,All Test Types,3.5,38,,Suppressed
49232,2012,All Children <6,All Test Types,5,38,0,0
49232**,2013,All Children <6,All Test Types,3.5,46,,Suppressed
49232**,2013,All Children <6,All Test Types,5,46,,Suppressed
49232**,2014,All Children <6,All Test Types,3.5,60,,Suppressed
49232**,2014,All Children <6,All Test Types,5,60,,Suppressed
49232**,2015,All Children <6,All Test Types,3.5,49,,Suppressed
49232**,2015,All Children <6,All Test Types,5,49,,Suppressed
49232**,2016,All Children <6,All Test Types,3.5,62,,Suppressed
49232**,2016,All Children <6,All Test Types,5,62,,Suppressed
49232**,2017,All Children <6,All Test Types,3.5,69,,Suppressed
49232**,2017,All Children <6,All Test Types,5,69,,Suppressed
49232**,2018,All Children <6,All Test Types,3.5,44,,Suppressed
49232**,2018,All Children <6,All Test Types,5,44,,Suppressed
49232**,2019,All Children <6,All Test Types,3.5,41,,Suppressed
49232,2019,All Children <6,All Test Types,5,41,0,0
49232,2020,All Children <6,All Test Types,3.5,9,0,0
49232,2020,All Children <6,All Test Types,5,9,0,0
49232,2021,All Children <6,All Test Types,3.5,13,0,0
49232,2021,All Children <6,All Test Types,5,13,0,0
49232**,2022,All Children <6,All Test Types,3.5,36,,Suppressed
49232**,2022,All Children <6,All Test Types,5,36,,Suppressed
49232**,2023,All Children <6,All Test Types,3.5,41,,Suppressed
49232**,2023,All Children <6,All Test Types,5,41,,Suppressed
49232**,2024,All Children <6,All Test Types,3.5,33,,Suppressed
49232**,2024,All Children <6,All Test Types,5,33,,Suppressed
49233**,2010,All Children <6,All Test Types,3.5,31,,Suppressed
49233,2010,All Children <6,All Test Types,5,31,0,0
49233**,2011,All Children <6,All Test Types,3.5,49,,Suppressed
49233**,2011,All Children <6,All Test Types,5,49,,Suppressed
49233**,2012,All Children <6,All Test Types,3.5,48,,Suppressed
49233**,2012,All Children <6,All Test Types,5,48,,Suppressed
49233**,2013,All Children <6,All Test Types,3.5,27,,Suppressed
49233**,2013,All Children <6,All Test Types,5,27,,Suppressed
49233**,2014,All Children <6,All Test Types,3.5,30,,Suppressed
49233**,2014,All Children <6,All Test Types,5,30,,Suppressed
49233,2015,All Children <6,All Test Types,3.5,29,0,0
49233,2015,All Children <6,All Test Types,5,29,0,0
49233**,2016,All Children <6,All Test Types,3.5,28,,Suppressed
49233**,2016,All Children <6,All Test Types,5,28,,Suppressed
49233**,2017,All Children <6,All Test Types,3.5,31,,Suppressed
49233**,2017,All Children <6,All Test Types,5,31,,Suppressed
49233**,2018,All Children <6,All Test Types,3.5,41,,Suppressed
49233,2018,All Children <6,All Test Types,5,41,0,0
49233**,2019,All Children <6,All Test Types,3.5,32,,Suppressed
49233,2019,All Children <6,All Test Types,5,32,0,0
49233**,2020,All Children <6,All Test Types,3.5,31,,Suppressed
49233,2020,All Children <6,All Test Types,5,31,0,0
49233**,2021,All Children <6,All Test Types,3.5,34,,Suppressed
49233,2021,All Children <6,All Test Types,5,34,0,0
49233**,2022,All Children <6,All Test Types,3.5,44,,Suppressed
49233,2022,All Children <6,All Test Types,5,44,0,0
49233**,2023,All Children <6,All Test Types,3.5,40,,Suppressed
49233,2023,All Children <6,All Test Types,5,40,0,0
49233**,2024,All Children <6,All Test Types,3.5,44,,Suppressed
49233,2024,All Children <6,All Test Types,5,44,0,0
49234**,2010,All Children <6,All Test Types,3.5,23,,Suppressed
49234,2010,All Children <6,All Test Types,5,23,0,0
49234**,2011,All Children <6,All Test Types,3.5,22,,Suppressed
49234**,2011,All Children <6,All Test Types,5,22,,Suppressed
49234**,2012,All Children <6,All Test Types,3.5,25,,Suppressed
49234**,2012,All Children <6,All Test Types,5,25,,Suppressed
49234**,2013,All Children <6,All Test Types,3.5,34,,Suppressed
49234,2013,All Children <6,All Test Types,5,34,0,0
49234,2014,All Children <6,All Test Types,3.5,33,6,18.2
49234**,2014,All Children <6,All Test Types,5,33,,Suppressed
49234,2015,All Children <6,All Test Types,3.5,41,0,0
49234,2015,All Children <6,All Test Types,5,41,0,0
49234**,2016,All Children <6,All Test Types,3.5,25,,Suppressed
49234**,2016,All Children <6,All Test Types,5,25,,Suppressed
49234,2017,All Children <6,All Test Types,3.5,13,0,0
49234,2017,All Children <6,All Test Types,5,13,0,0
49234**,2018,All Children <6,All Test Types,3.5,20,,Suppressed
49234**,2018,All Children <6,All Test Types,5,20,,Suppressed
49234**,2019,All Children <6,All Test Types,3.5,23,,Suppressed
49234**,2019,All Children <6,All Test Types,5,23,,Suppressed
49234**,2020,All Children <6,All Test Types,3.5,15,,Suppressed
49234,2020,All Children <6,All Test Types,5,15,0,0
49234,2021,All Children <6,All Test Types,3.5,15,0,0
49234,2021,All Children <6,All Test Types,5,15,0,0
49234,2022,All Children <6,All Test Types,3.5,18,0,0
49234,2022,All Children <6,All Test Types,5,18,0,0
49234**,2023,All Children <6,All Test Types,3.5,28,,Suppressed
49234**,2023,All Children <6,All Test Types,5,28,,Suppressed
49234,2024,All Children <6,All Test Types,3.5,27,0,0
49234,2024,All Children <6,All Test Types,5,27,0,0
49235**,2010,All Children <6,All Test Types,3.5,36,,Suppressed
49235**,2010,All Children <6,All Test Types,5,36,,Suppressed
49235**,2011,All Children <6,All Test Types,3.5,34,,Suppressed
49235**,2011,All Children <6,All Test Types,5,34,,Suppressed
49235**,2012,All Children <6,All Test Types,3.5,44,,Suppressed
49235**,2012,All Children <6,All Test Types,5,44,,Suppressed
49235**,2013,All Children <6,All Test Types,3.5,39,,Suppressed
49235**,2013,All Children <6,All Test Types,5,39,,Suppressed
49235,2014,All Children <6,All Test Types,3.5,28,6,21.4
49235**,2014,All Children <6,All Test Types,5,28,,Suppressed
49235**,2015,All Children <6,All Test Types,3.5,22,,Suppressed
49235**,2015,All Children <6,All Test Types,5,22,,Suppressed
49235,2016,All Children <6,All Test Types,3.5,27,6,22.2
49235**,2016,All Children <6,All Test Types,5,27,,Suppressed
49235**,2017,All Children <6,All Test Types,3.5,31,,Suppressed
49235**,2017,All Children <6,All Test Types,5,31,,Suppressed
49235,2018,All Children <6,All Test Types,3.5,24,0,0
49235,2018,All Children <6,All Test Types,5,24,0,0
49235**,2019,All Children <6,All Test Types,3.5,15,,Suppressed
49235,2019,All Children <6,All Test Types,5,15,0,0
49235**,2020,All Children <6,All Test Types,3.5,16,,Suppressed
49235**,2020,All Children <6,All Test Types,5,16,,Suppressed
49235**,2021,All Children <6,All Test Types,3.5,15,,Suppressed
49235**,2021,All Children <6,All Test Types,5,15,,Suppressed
49235,2022,All Children <6,All Test Types,3.5,18,0,0
49235,2022,All Children <6,All Test Types,5,18,0,0
49235**,2023,All Children <6,All Test Types,3.5,20,,Suppressed
49235**,2023,All Children <6,All Test Types,5,20,,Suppressed
49235,2024,All Children <6,All Test Types,3.5,15,0,0
49235,2024,All Children <6,All Test Types,5,15,0,0
49236**,2010,All Children <6,All Test Types,3.5,39,,Suppressed
49236**,2010,All Children <6,All Test Types,5,39,,Suppressed
49236**,2011,All Children <6,All Test Types,3.5,66,,Suppressed
49236**,2011,All Children <6,All Test Types,5,66,,Suppressed
49236**,2012,All Children <6,All Test Types,3.5,56,,Suppressed
49236**,2012,All Children <6,All Test Types,5,56,,Suppressed
49236**,2013,All Children <6,All Test Types,3.5,43,,Suppressed
49236,2013,All Children <6,All Test Types,5,43,0,0
49236**,2014,All Children <6,All Test Types,3.5,29,,Suppressed
49236**,2014,All Children <6,All Test Types,5,29,,Suppressed
49236**,2015,All Children <6,All Test Types,3.5,33,,Suppressed
49236**,2015,All Children <6,All Test Types,5,33,,Suppressed
49236**,2016,All Children <6,All Test Types,3.5,44,,Suppressed
49236,2016,All Children <6,All Test Types,5,44,0,0
49236**,2017,All Children <6,All Test Types,3.5,50,,Suppressed
49236**,2017,All Children <6,All Test Types,5,50,,Suppressed
49236**,2018,All Children <6,All Test Types,3.5,36,,Suppressed
49236**,2018,All Children <6,All Test Types,5,36,,Suppressed
49236**,2019,All Children <6,All Test Types,3.5,31,,Suppressed
49236,2019,All Children <6,All Test Types,5,31,0,0
49236**,2020,All Children <6,All Test Types,3.5,30,,Suppressed
49236**,2020,All Children <6,All Test Types,5,30,,Suppressed
49236**,2021,All Children <6,All Test Types,3.5,23,,Suppressed
49236**,2021,All Children <6,All Test Types,5,23,,Suppressed
49236**,2022,All Children <6,All Test Types,3.5,25,,Suppressed
49236**,2022,All Children <6,All Test Types,5,25,,Suppressed
49236**,2023,All Children <6,All Test Types,3.5,55,,Suppressed
49236**,2023,All Children <6,All Test Types,5,55,,Suppressed
49236,2024,All Children <6,All Test Types,3.5,78,8,10.3
49236**,2024,All Children <6,All Test Types,5,78,,Suppressed
49237**,2010,All Children <6,All Test Types,3.5,38,,Suppressed
49237**,2010,All Children <6,All Test Types,5,38,,Suppressed
49237**,2011,All Children <6,All Test Types,3.5,47,,Suppressed
49237**,2011,All Children <6,All Test Types,5,47,,Suppressed
49237**,2012,All Children <6,All Test Types,3.5,30,,Suppressed
49237,2012,All Children <6,All Test Types,5,30,0,0
49237**,2013,All Children <6,All Test Types,3.5,49,,Suppressed
49237,2013,All Children <6,All Test Types,5,49,0,0
49237**,2014,All Children <6,All Test Types,3.5,53,,Suppressed
49237**,2014,All Children <6,All Test Types,5,53,,Suppressed
49237**,2015,All Children <6,All Test Types,3.5,47,,Suppressed
49237,2015,All Children <6,All Test Types,5,47,0,0
49237**,2016,All Children <6,All Test Types,3.5,45,,Suppressed
49237**,2016,All Children <6,All Test Types,5,45,,Suppressed
49237**,2017,All Children <6,All Test Types,3.5,34,,Suppressed
49237**,2017,All Children <6,All Test Types,5,34,,Suppressed
49237,2018,All Children <6,All Test Types,3.5,43,9,20.9
49237**,2018,All Children <6,All Test Types,5,43,,Suppressed
49237**,2019,All Children <6,All Test Types,3.5,44,,Suppressed
